subj,serial,path,product,mac,macpp,macbot,macsmrd,luis,luispp,luisbot,luissmrd,avgsmrd,avgbot,avgbot.z,avgsmrd.z,sot,avgpp,smrd,aspect,bot,dec,gender,age,req,re
15,130262,0,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,0.7,3,1,1,2,2,15,0
16,130263,1,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,-1,2,-2,0,1,2,26,1
16,130263,1,B,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,2,1,1,2,26,1
17,130266,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,-2,0,2,1,19,0
17,130266,0,B,unk,0,0,1,prom,1,2,1,1,1,0.24,0.95,0.60,0.5,1,2,2,1,2,1,19,0
18,130267,1,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,2,1,34,1
18,130267,1,B,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,-2,0,2,1,34,1
19,130269,0,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,0,3,1,1,1,2,17,0
19,130269,0,B,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,1,4,4,1,1,2,17,0
20,130270,1,A,prom,1,3,0.6,prom,1,3,0.6,0.6,3,1.11,0.45,0.78,1,0.4,7,-1,1,2,1,19,0
20,130270,1,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,1,5,1,1,2,1,19,0
21,130271,0,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,1,2,2,20,1
21,130271,0,B,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,2,2,20,1
22,130272,1,A,prom,1,3,-0.5,prom,1,3,-0.5,-0.5,3,1.11,-0.83,0.14,1,-0.3,8,2,1,2,1,15,0
22,130272,1,B,prom,1,3,-0.6,prom,1,3,-0.6,-0.6,3,1.11,-0.94,0.08,1,-0.6,5,3,1,2,1,15,0
23,130273,0,A,prev,-1,-1,-0.5,prev,-1,1,-0.8,-0.7,0,-0.19,-1.04,-0.62,-1,-0.8,11,-3,0,2,2,27,1
23,130273,0,B,prom,1,4,0.6,prev,-1,0,1,0.8,2,0.68,0.72,0.70,0,1,10,0,0,2,2,27,1
24,130274,1,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,-1,3,-1,1,1,1,17,0
24,130274,1,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,1,1,1,1,17,0
25,130275,0,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,-1,2,-2,0,2,2,22,1
25,130275,0,B,prev,-1,-2,-1,prev,-1,0,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,2,-2,0,2,2,22,1
26,130276,1,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,1,-1,0,2,3,22,1
26,130276,1,B,prom,1,0,1,prom,1,0,1,1,0,-0.19,0.95,0.38,1,1,2,0,0,2,3,22,1
27,130277,0,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,1,-1,0,1,3,18,0
27,130277,0,B,prev,-1,0,-1,prev,-1,0,-1,-1,0,-0.19,-1.42,-0.81,-1,-1,2,-2,0,1,3,18,0
28,130278,1,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,3,-1,0,1,1,14,0
28,130278,1,B,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,2,1,1,1,14,0
29,130279,1,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,5,5,1,2,3,22,1
29,130279,1,B,prom,1,4,0.7,prom,1,4,0.7,0.7,4,1.55,0.56,1.05,1,1,6,6,1,2,3,22,1
30,130280,0,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,1,2,0,1,2,2,20,0
30,130280,0,B,prom,1,0,1,prom,1,0,1,1,0,-0.19,0.95,0.38,1,1,2,2,1,2,2,20,0
31,130282,0,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,2,0,1,1,31,1
31,130282,0,B,unk,0,0,1,unk,0,0,1,1,0,-0.19,0.95,0.38,0,1,2,2,0,1,1,31,1
32,130284,0,A,prom,1,3,0.6,prom,1,3,0.6,0.6,3,1.11,0.48,0.80,1,-1,5,-5,0,2,1,18,0
32,130284,0,B,prom,1,4,-0.7,prom,1,4,-0.7,-0.7,4,1.55,-1.02,0.26,1,-0.7,6,4,1,2,1,18,0
33,130285,1,A,prev,-1,-1,0.7,prev,-1,-1,0.7,0.7,-1,-0.63,0.61,-0.01,-1,1,7,-5,0,2,1,20,0
33,130285,1,B,prev,-1,-1,0.8,prom,1,1,0.2,0.5,0,-0.19,0.36,0.08,0,0.2,5,1,0,2,1,20,0
34,130286,0,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,1,2,2,1,2,2,20,0
34,130286,0,B,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,0,1,2,2,20,0
35,130287,1,A,prev,-1,-1,1,prev,-1,-1,1,1,-1,-0.63,0.95,0.16,-1,0,3,-1,0,2,1,17,0
35,130287,1,B,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,1,2,0,0,2,1,17,0
36,130288,0,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,2,1,2,5,23,1
36,130288,0,B,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,-2,0,2,5,23,1
37,130289,1,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,3,1,1,2,1,23,1
37,130289,1,B,prev,-1,0,0,prev,-1,0,0,0,0,-0.19,-0.23,-0.21,-1,-1,4,2,0,2,1,23,1
38,130291,1,A,prom,1,6,0.8,prom,1,6,0.8,0.8,6,2.42,0.66,1.54,1,0.1,9,3,1,2,1,18,0
38,130291,1,B,prom,1,3,-0.4,prom,1,5,-0.7,-0.6,4,1.55,-0.89,0.33,1,0.4,9,5,1,2,1,18,0
39,130292,0,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,-1,4,0,0,2,1,11,0
39,130292,0,B,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,-0.5,4,2,1,2,1,11,0
40,130294,0,A,prev,-1,-3,0.6,prev,-1,-3,0.6,0.6,-3,-1.50,0.48,-0.51,-1,-0.6,5,-3,0,2,2,28,1
40,130294,0,B,prev,-1,0,-1,prev,-1,0,-1,-1,0,-0.19,-1.42,-0.81,-1,1,2,0,0,2,2,28,1
41,130295,1,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,3,-3,0,2,3,25,1
41,130295,1,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,2,3,25,1
42,130296,0,A,prom,1,5,0.4,prom,1,5,0.4,0.4,5,1.98,0.28,1.13,1,-0.4,7,5,1,2,1,18,0
42,130296,0,B,prom,1,2,0.7,prev,-1,-1,0.7,0.7,0.5,0.03,0.59,0.31,0,-0.7,7,-1,1,2,1,18,0
43,130297,0,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,1,2,16,0
43,130297,0,B,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,1,2,16,0
44,130299,1,A,prom,1,4,1,prom,1,2,0.5,0.8,3,1.11,0.66,0.88,1,-0.5,4,2,0,2,2,18,0
44,130299,1,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,3,1,0,2,2,18,0
45,130300,0,A,prom,1,3,0,prev,-1,-3,0.6,0.3,0,-0.19,0.12,-0.03,0,-1,5,-5,0,2,2,22,1
45,130300,0,B,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,1,4,0,0,2,2,22,1
46,130301,1,A,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,-1,2,-2,0,2,1,14,0
46,130301,1,B,prom,1,2,0,prom,1,2,0,0,2,0.68,-0.23,0.22,1,-1,5,-3,0,2,1,14,0
47,130421,0,A,prev,-1,1,1,prom,1,3,1,1,2,0.68,0.95,0.82,0,-1,5,3,1,2,2,24,1
47,130421,0,B,prev,-1,-1,-1,prom,1,3,1,0,1,0.24,-0.23,0.01,0,1,3,3,1,2,2,24,1
48,130422,1,A,prom,1,2,-0.5,prom,1,2,-0.5,-0.5,2,0.68,-0.83,-0.07,1,-1,4,-4,0,2,1,18,0
48,130422,1,B,prev,-1,-1,0,prev,-1,-1,0,0,-1,-0.63,-0.23,-0.43,-1,0,3,-1,0,2,1,18,0
49,130423,0,A,prom,1,1,-1,prom,1,1,-1,-1,1,0.24,-1.42,-0.59,1,1,3,1,0,2,1,28,1
49,130423,0,B,prev,-1,-4,0.6,prev,-1,-4,0.6,0.6,-4,-1.93,0.51,-0.71,-1,-0.8,8,-4,1,2,1,28,1
50,130424,1,A,prev,-1,-5,-1,prev,-1,-5,-1,-1,-5,-2.37,-1.42,-1.89,-1,1,5,5,1,2,2,20,0
50,130424,1,B,prev,-1,-3,1,prev,-1,-3,1,1,-3,-1.50,0.95,-0.27,-1,-1,5,-1,0,2,2,20,0
51,130425,0,A,prom,1,1,0.2,prev,-1,0,0,0.1,0.5,0.03,-0.11,-0.04,0,0.3,6,-4,0,2,1,25,1
51,130425,0,B,prev,-1,0,1,prev,-1,-1,1,1,-0.5,-0.41,0.95,0.27,-1,-1,5,-1,0,2,1,25,1
52,130483,1,A,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,-1,4,0,0,2,1,27,1
52,130483,1,B,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,0,3,-1,0,2,1,27,1
53,130485,1,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,1,1,1,1,2,1,13,0
53,130485,1,B,prev,-1,0,-1,prev,-1,0,-1,-1,0,-0.19,-1.42,-0.81,-1,1,2,0,1,2,1,13,0
54,130486,1,A,prom,1,2,-1,prom,1,2,-1,-1,2,0.68,-1.42,-0.37,1,1,4,4,1,1,1,15,0
54,130486,1,B,prom,1,2,0.5,prom,1,2,0.5,0.5,2,0.68,0.36,0.52,1,1,4,4,1,1,1,15,0
55,130487,0,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,1,1,1,0,2,1,16,0
55,130487,0,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,1,-1,0,2,1,16,0
56,130488,1,A,prom,1,1,1,prom,1,2,1,1,1.5,0.46,0.95,0.71,1,1,2,2,0,1,1,27,1
56,130488,1,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,1,1,27,1
57,130489,0,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,-1,2,-2,0,2,1,31,1
57,130489,0,B,prev,-1,-2,0.5,prev,-1,-2,0.5,0.5,-2,-1.06,0.36,-0.35,-1,-0.5,4,-2,0,2,1,31,1
58,130490,1,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,2,0,2,1,26,1
58,130490,1,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,1,1,1,1,2,1,26,1
59,130491,0,A,prom,1,1,-1,prom,1,1,-1,-1,1,0.24,-1.42,-0.59,1,-1,3,-3,0,2,1,23,1
59,130491,0,B,prev,-1,-2,-0.5,prev,-1,-2,-0.5,-0.5,-2,-1.06,-0.83,-0.94,-1,-1,4,-4,0,2,1,23,1
60,132474,1,A,prom,1,0,1,prom,1,2,1,1,1,0.24,0.95,0.60,1,1,4,0,0,2,1,19,0
60,132474,1,B,prev,-1,-2,1,prev,-1,-2,1,1,-2,-1.06,0.95,-0.05,-1,1,4,-2,1,2,1,19,0
61,132479,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,3,-3,0,2,1,16,0
61,132479,0,B,prev,-1,-3,-1,prev,-1,-3,-1,-1,-3,-1.50,-1.42,-1.46,-1,-1,3,-3,0,2,1,16,0
62,132488,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,1,2,-1,1,2,1,26,1
62,132488,0,B,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,1,2,-1,0,2,1,26,1
63,132600,0,A,prev,-1,0,1,prev,-1,-1,1,1,-0.5,-0.41,0.95,0.27,-1,-1,5,-5,0,2,1,22,1
63,132600,0,B,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,1,4,-2,0,2,1,22,1
64,132601,1,A,prom,1,5,1,prom,1,5,1,1,5,1.98,0.95,1.47,1,0,5,-1,0,2,1,17,0
64,132601,1,B,prom,1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,0,1,4,-2,0,2,1,17,0
65,132602,0,A,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,1,6,0,1,2,2,26,1
65,132602,0,B,prev,-1,-3,-0.6,prev,-1,-3,-0.6,-0.6,-3,-1.50,-0.94,-1.22,-1,-1,5,-5,0,2,2,26,1
66,132603,0,A,prom,1,2,0.5,prom,1,2,0.5,0.5,2,0.68,0.36,0.52,1,0.5,4,2,0,1,1,18,0
66,132603,0,B,prom,1,1,1,prom,1,3,0.6,0.8,2,0.68,0.72,0.70,1,0.6,5,3,1,1,1,18,0
67,132604,1,A,prom,1,5,0.2,prom,1,7,-0.5,-0.2,6,2.42,-0.46,0.98,1,0.8,13,7,1,2,1,21,1
67,132604,1,B,prev,-1,-8,-0.8,prev,-1,-8,-0.8,-0.8,-8,-3.67,-1.18,-2.43,-1,-0.8,10,-8,0,2,1,21,1
68,132605,0,A,prev,-1,-2,0.5,prom,1,1,-1,-0.3,-0.5,-0.41,-0.53,-0.47,0,-1,5,-5,0,1,2,17,0
68,132605,0,B,prev,-1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,0,0.7,9,3,0,1,2,17,0
69,132606,1,A,prev,-1,-1,1,prev,-1,-1,1,1,-1,-0.63,0.95,0.16,-1,1,3,3,1,2,1,20,1
69,132606,1,B,prev,-1,0,0.5,prev,-1,0,0.5,0.5,0,-0.19,0.36,0.08,-1,0,4,0,1,2,1,20,1
70,132607,0,A,prev,-1,-2,1,prev,-1,-2,1,1,-2,-1.06,0.95,-0.05,-1,-1,8,-8,0,2,1,27,1
70,132607,0,B,prev,-1,-5,-0.2,prev,-1,-5,-0.2,-0.2,-5,-2.37,-0.50,-1.43,-1,-0.7,9,-5,0,2,1,27,1
71,132608,1,A,prom,1,1,0,prom,1,1,0,0,1,0.24,-0.23,0.01,1,1,4,4,1,2,4,27,1
71,132608,1,B,prev,-1,2,0.3,prom,1,2,0.3,0.3,2,0.68,0.06,0.37,0,-0.9,8,-2,0,2,4,27,1
72,132609,0,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,0.2,5,1,0,2,1,17,0
72,132609,0,B,prev,-1,1,0.6,prom,1,1,0.6,0.6,1,0.24,0.45,0.34,0,1,5,-3,0,2,1,17,0
73,132610,1,A,prev,-1,-2,1,prev,-1,-1,0,0.5,-1.5,-0.84,0.36,-0.24,-1,1,4,-2,0,1,1,26,1
73,132610,1,B,prom,1,2,-1,prom,1,2,-1,-1,2,0.68,-1.42,-0.37,1,-0.5,4,2,1,1,1,26,1
74,132611,0,A,prev,-1,-1,0,prev,-1,-1,0,0,-1,-0.63,-0.23,-0.43,-1,-0.7,7,-3,0,1,3,24,1
74,132611,0,B,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,1,6,0,0,1,3,24,1
75,132612,1,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,5,4,0,1,2,16,0
75,132612,1,B,prev,-1,-4,-1,prev,-1,-4,-1,-1,-4,-1.93,-1.42,-1.67,-1,0,6,-2,0,1,2,16,0
76,132613,0,A,prom,1,3,1,prom,1,1,1,1,2,0.68,0.95,0.82,1,-1,3,-3,0,2,1,18,0
76,132613,0,B,prom,1,1,0,prom,1,3,1,0.5,2,0.68,0.36,0.52,1,1,3,3,1,2,1,18,0
77,132614,1,A,prom,1,1,,prom,1,1,1,0.5,1,0.24,0.36,0.30,1,1,1,1,1,1,2,24,1
77,132614,1,B,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,-1,2,-2,0,1,2,24,1
78,132615,0,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,2,1,12,0
78,132615,0,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,2,1,12,0
79,132616,1,A,prom,1,0,-1,prom,1,0,-1,-1,0,-0.19,-1.42,-0.81,1,-1,4,0,1,2,1,22,1
79,132616,1,B,prev,-1,-3,1,prev,-1,-3,1,1,-3,-1.50,0.95,-0.27,-1,0,5,-1,0,2,1,22,1
80,132617,1,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,1,1,22,1
80,132617,1,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,-1,1,-1,0,1,1,22,1
81,132618,0,A,prev,-1,0,-1,prev,-1,0,-1,-1,0,-0.19,-1.42,-0.81,-1,-1,2,-2,0,2,1,23,1
81,132618,0,B,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,-1,2,-2,0,2,1,23,1
82,132619,1,A,prev,-1,-1,-1,prev,-1,-2,-1,-1,-1.5,-0.84,-1.42,-1.13,-1,1,3,3,1,1,1,24,1
82,132619,1,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,1,4,4,1,1,1,24,1
83,132620,0,A,prom,1,2,-0.5,prom,1,2,-0.5,-0.5,2,0.68,-0.83,-0.07,1,-1,4,-4,0,1,2,20,1
83,132620,0,B,prev,-1,-2,0.5,prev,-1,-2,0.5,0.5,-2,-1.06,0.36,-0.35,-1,0.5,4,-2,0,1,2,20,1
84,132636,1,A,prom,1,0,1,prom,1,0,1,1,0,-0.19,0.95,0.38,1,-1,2,-2,0,2,1,15,0
84,132636,1,B,prev,-1,0,-0.5,prev,-1,-2,-1,-0.8,-1,-0.63,-1.12,-0.87,-1,-1,4,-2,0,2,1,15,0
85,132637,0,A,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,-1,6,4,1,2,1,15,0
85,132637,0,B,prom,1,5,1,prom,1,5,1,1,5,1.98,0.95,1.47,1,1,5,5,1,2,1,15,0
86,132638,1,A,prev,-1,-2,0,prom,1,-1,-0.4,-0.2,-1.5,-0.84,-0.49,-0.67,0,0.9,7,-1,0,1,1,21,1
86,132638,1,B,prev,-1,-3,1,prev,-1,-3,1,1,-3,-1.50,0.95,-0.27,-1,1,5,-3,1,1,1,21,1
87,132641,0,A,prev,-1,-1,1,prev,-1,-1,0,0.5,-1,-0.63,0.36,-0.13,-1,-1,3,-3,0,2,1,21,1
87,132641,0,B,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,1,1,1,0,2,1,21,1
88,132642,0,A,prev,-1,0,1,prev,-1,0,1,1,0,-0.19,0.95,0.38,-1,-1,2,-2,0,1,1,19,0
88,132642,0,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,0,3,1,0,1,1,19,0
89,132643,1,A,prev,-1,0,-1,prev,-1,0,-1,-1,0,-0.19,-1.42,-0.81,-1,-1,6,0,0,2,1,22,1
89,132643,1,B,prev,-1,-6,-0.3,prev,-1,-6,-0.3,-0.3,-6,-2.80,-0.53,-1.66,-1,-0.3,8,-6,0,2,1,22,1
90,132644,0,A,prev,-1,0,-1,prev,-1,0,-1,-1,0,-0.19,-1.42,-0.81,-1,1,2,0,1,2,1,17,0
90,132644,0,B,prev,-1,-1,1,prev,-1,-1,1,1,-1,-0.63,0.95,0.16,-1,-1,3,-3,1,2,1,17,0
91,132645,1,A,prev,-1,-1,-0.4,prev,-1,-1,-0.4,-0.4,-1,-0.63,-0.74,-0.68,-1,0.1,7,-1,1,2,1,13,0
91,132645,1,B,prev,-1,-2,-0.5,prev,-1,0,0.3,-0.1,-1,-0.63,-0.33,-0.48,-1,0.8,6,-2,1,2,1,13,0
92,132647,0,A,prev,-1,-4,-1,prev,-1,-4,-1,-1,-4,-1.93,-1.42,-1.67,-1,-1,4,-4,0,1,1,16,0
92,132647,0,B,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,0,0,1,1,16,0
93,132649,1,A,prom,1,5,-0.7,prom,1,8,-0.7,-0.7,6.5,2.63,-1.11,0.76,1,-0.3,19,-6,0,2,1,16,0
93,132649,1,B,prev,-1,-2,-1,prev,-1,0,-1,-1,-1,-0.63,-1.42,-1.02,-1,0.5,11,-1,0,2,1,16,0
94,132650,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,-2,0,1,1,13,0
94,132650,0,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.60,1,1,3,1,1,1,1,13,0
95,132651,1,A,prom,1,1,1,prom,1,2,1,1,1.5,0.46,0.95,0.71,1,1,2,2,1,1,2,18,0
95,132651,1,B,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,1,2,18,0
96,132653,1,A,prom,1,3,1,prom,1,1,1,1,-1,-0.63,0.95,0.16,1,-1,3,-3,0,1,1,15,0
96,132653,1,B,prev,-1,-3,-0.6,prev,-1,-3,-0.6,-0.6,-1,-0.63,-0.94,-0.79,-1,-1,5,-5,0,1,1,15,0
97,132654,0,A,prom,1,2,1,prom,1,0,1,1,-1,-0.63,0.95,0.16,1,-1,2,-2,0,1,1,14,0
97,132654,0,B,prom,1,3,1,prom,1,1,0,0.5,-1,-0.63,0.36,-0.13,1,-1,3,-3,0,1,1,14,0
98,132655,1,A,prev,-1,0,-1,prev,-1,0,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,2,-2,0,1,1,19,0
98,132655,1,B,prev,-1,-4,-1,prev,-1,-4,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,4,-4,0,1,1,19,0
99,132656,0,A,prev,-1,0,0,prev,-1,0,0,0,-1,-0.63,-0.23,-0.43,-1,-1,6,-6,0,2,1,13,0
99,132656,0,B,prom,1,2,1,prom,1,1,1,1,-1,-0.63,0.95,0.16,1,1,3,1,1,2,1,13,0
100,132657,0,A,prom,1,3,0,prom,1,1,-0.6,-0.3,-1,-0.63,-0.59,-0.61,1,-1,5,-5,0,2,1,19,0
100,132657,0,B,prom,1,4,1,prom,1,4,1,1,-1,-0.63,0.95,0.16,1,1,4,4,1,2,1,19,0
101,132659,1,A,prom,1,1,-1,prom,1,1,-1,-1,-1,-0.63,-1.42,-1.02,1,-1,3,1,0,2,1,21,1
